Segment ID plain text,Segment type,Start X (mm),Start Y (mm),Start Z (mm),Mid X (mm),Mid Y (mm),Mid Z (mm),End X (mm),End Y (mm),End Z (mm),Length (mm),Radius (mm),Arc center X (mm),Arc center Z (mm),Arc center Y (mm)
heart-left--back-56,Line,-8,-497,5215,-58,-294,4540,-68,-38,4259,1087,n/a,n/a,n/a,n/a
heart-left--front-01,Line,-35,296,5728,-40,262,5782,-48,0,5867,340,n/a,n/a,n/a,n/a
heart-left--front-02,Line,-61,306,5733,-70,267,5800,-82,0,5896,362,n/a,n/a,n/a,n/a
heart-left--front-03,Line,-106,323,5739,-127,273,5836,-153,0,5948,407,n/a,n/a,n/a,n/a
heart-left--front-04,Line,-138,334,5741,-173,276,5864,-207,0,5982,443,n/a,n/a,n/a,n/a
heart-left--front-05,Line,-185,344,5743,-243,274,5906,-283,0,6022,487,n/a,n/a,n/a,n/a
heart-left--front-06,Line,-205,380,5740,-287,269,5933,-334,0,6043,532,n/a,n/a,n/a,n/a
heart-left--front-07,Line,-235,349,5737,-342,253,5967,-385,0,6058,544,n/a,n/a,n/a,n/a
heart-left--front-08,Line,-269,390,5725,-418,251,5984,-468,0,6071,600,n/a,n/a,n/a,n/a
heart-left--front-09,Line,-299,365,5711,-471,265,5971,-536,0,6068,617,n/a,n/a,n/a,n/a
heart-left--front-10,Line,-319,401,5694,-522,266,5958,-597,0,6056,653,n/a,n/a,n/a,n/a
heart-left--front-11,Line,-338,371,5677,-565,262,5948,-646,0,6040,659,n/a,n/a,n/a,n/a
heart-left--front-12,Line,-363,370,5656,-638,246,5930,-718,0,6007,677,n/a,n/a,n/a,n/a
heart-left--front-13,Line,-383,376,5632,-712,232,5898,-791,0,5962,700,n/a,n/a,n/a,n/a
heart-left--front-14,Line,-400,379,5612,-739,243,5860,-835,0,5929,712,n/a,n/a,n/a,n/a
heart-left--front-15,Line,-204,-465,5443,-764,249,5825,-873,0,5895,1265,n/a,n/a,n/a,n/a
heart-left--front-16,Line,-420,417,5581,-785,252,5794,-902,0,5863,740,n/a,n/a,n/a,n/a
heart-left--front-17,Line,-430,396,5563,-807,253,5762,-930,0,5827,738,n/a,n/a,n/a,n/a
heart-left--front-18,Line,-439,414,5542,-838,251,5717,-964,0,5772,751,n/a,n/a,n/a,n/a
heart-left--front-19,Line,-443,377,5523,-865,245,5678,-985,0,5723,745,n/a,n/a,n/a,n/a
heart-left--front-20,Line,-450,440,5506,-881,239,5656,-994,0,5695,766,n/a,n/a,n/a,n/a
heart-left--front-21,Line,-456,388,5483,-881,239,5656,-994,0,5695,750,n/a,n/a,n/a,n/a
heart-left--front-22,Line,-457,420,5472,-885,241,5623,-1003,0,5660,759,n/a,n/a,n/a,n/a
heart-left--front-23,Line,-459,419,5453,-884,246,5590,-1009,0,5625,757,n/a,n/a,n/a,n/a
heart-left--front-24,Line,-460,379,5436,-883,249,5553,-1014,0,5583,741,n/a,n/a,n/a,n/a
heart-left--front-25,Line,-461,391,5413,-882,250,5499,-1017,0,5519,737,n/a,n/a,n/a,n/a
heart-left--front-26,Line,-461,422,5395,-881,250,5462,-1016,0,5478,743,n/a,n/a,n/a,n/a
heart-left--front-27,Line,-459,391,5376,-880,248,5419,-1012,0,5427,728,n/a,n/a,n/a,n/a
heart-left--front-28,Line,-459,422,5352,-879,246,5382,-1006,0,5384,733,n/a,n/a,n/a,n/a
heart-left--front-29,Line,-455,373,5328,-871,241,5337,-990,0,5333,705,n/a,n/a,n/a,n/a
heart-left--front-30,Line,-450,397,5307,-826,248,5278,-953,0,5261,685,n/a,n/a,n/a,n/a
heart-left--front-31,Line,-443,416,5290,-804,252,5250,-935,0,5229,683,n/a,n/a,n/a,n/a
heart-left--front-32,Line,-436,393,5267,-77,260,5214,-908,0,5184,1258,n/a,n/a,n/a,n/a
heart-left--front-33,Line,-427,387,5248,-749,267,5177,-878,0,5140,650,n/a,n/a,n/a,n/a
heart-left--front-34,Line,-418,396,5220,-724,274,5144,-850,0,5099,643,n/a,n/a,n/a,n/a
heart-left--front-35,Line,-410,408,5203,-694,282,5105,-817,0,5054,638,n/a,n/a,n/a,n/a
heart-left--front-36,Line,-394,403,5181,-669,287,5073,-786,0,5016,633,n/a,n/a,n/a,n/a
heart-left--front-37,Line,-383,413,5162,-633,299,5038,-748,0,4970,629,n/a,n/a,n/a,n/a
heart-left--front-38,Line,-363,393,5139,-599,308,5005,-710,0,4927,621,n/a,n/a,n/a,n/a
heart-left--front-39,Line,-351,408,5122,-567,314,4974,-673,0,4887,621,n/a,n/a,n/a,n/a
heart-left--front-40,Line,-332,432,5101,-545,318,4952,-649,0,4861,631,n/a,n/a,n/a,n/a
heart-left--front-41,Line,-319,442,5078,-507,323,4916,-604,0,4816,627,n/a,n/a,n/a,n/a
heart-left--front-42,Line,-309,393,5043,-473,326,4885,-561,0,4774,593,n/a,n/a,n/a,n/a
heart-left--front-43,Line,-302,396,5008,-440,328,4855,-522,0,4738,575,n/a,n/a,n/a,n/a
heart-left--front-44,Line,-299,404,4958,-415,329,4832,-493,0,4711,546,n/a,n/a,n/a,n/a
heart-left--front-45,Line,-292,389,4903,-381,328,4801,-449,0,4671,508,n/a,n/a,n/a,n/a
heart-left--front-46,Line,-285,355,4854,-352,327,4774,-414,0,4641,466,n/a,n/a,n/a,n/a
heart-left--front-47,Line,-279,345,4797,-327,325,4752,-382,0,4613,426,n/a,n/a,n/a,n/a
heart-left--front-48,Line,-258,335,4739,-304,322,4731,-354,0,4590,404,n/a,n/a,n/a,n/a
