Segment ID plain text,Segment type,Start X (mm),Start Y (mm),Start Z (mm),Mid X (mm),Mid Y (mm),Mid Z (mm),End X (mm),End Y (mm),End Z (mm),Length (mm),Radius (mm),Arc center X (mm),Arc center Z (mm),Arc center Y (mm)
root-right-outside-back-02,Line,2598,-1675,103,n/a,n/a,n/a,1138,-215,103,2065,n/a,n/a,n/a,n/a
root-right-outside-back-03,Line,2598,-1675,63,n/a,n/a,n/a,1138,-215,63,2065,n/a,n/a,n/a,n/a
root-right-outside-back-04,Line,2742,-1535,142,n/a,n/a,n/a,1282,-71,142,2068,n/a,n/a,n/a,n/a
root-right-outside-back-05,Line,2742,-1535,103,n/a,n/a,n/a,1282,-71,103,2068,n/a,n/a,n/a,n/a
root-right-outside-back-06,Line,2742,-1535,63,n/a,n/a,n/a,1282,-71,63,2068,n/a,n/a,n/a,n/a
root-right-outside-front-01,Line,2598,1675,142,n/a,n/a,n/a,1138,215,142,2065,n/a,n/a,n/a,n/a
root-right-outside-front-02,Line,2598,1675,103,n/a,n/a,n/a,1138,215,103,2065,n/a,n/a,n/a,n/a
root-right-outside-front-03,Line,2598,1675,63,n/a,n/a,n/a,1138,215,63,2065,n/a,n/a,n/a,n/a
root-right-outside-front-04,Line,2742,1535,142,n/a,n/a,n/a,1282,71,142,2068,n/a,n/a,n/a,n/a
root-right-outside-front-05,Line,2742,1535,103,n/a,n/a,n/a,1282,71,103,2068,n/a,n/a,n/a,n/a
root-right-outside-front-06,Line,2742,1535,63,n/a,n/a,n/a,1282,71,63,2068,n/a,n/a,n/a,n/a
trunk-left---01,Line,-1029.41,-37.39,373.89,n/a,n/a,n/a,-990.6,-76.2,762,392,n/a,n/a,n/a,n/a
trunk-left---02,Arc,-990.6,-76.2,762,n/a,n/a,n/a,-533.4,222.67,2540,1860,3132.73,605.53,871.73,2617.19
trunk-left---03,Arc,-533.4,222.67,2540,n/a,n/a,n/a,-345.81,360.84,2804.94,353,969.85,359.52,2163.55,182.64
trunk-left---04,Arc,-345.81,360.84,2804.94,n/a,n/a,n/a,167.52,414.61,3212.52,658,1100.55,155.6,2833.24,-618.45
trunk-left---05,Arc,167.52,414.61,3212.52,n/a,n/a,n/a,462.07,23.29,3428.48,535,466.3,72.7,3180.04,-40.79
trunk-left---06,Arc,462.07,23.29,3428.48,n/a,n/a,n/a,-219.73,-245.9,3931.58,889,466.07,74.61,3687.49,20.56
trunk-left---07,Arc,-219.73,-245.9,3931.58,n/a,n/a,n/a,-837.97,38.02,4142.52,712,703.48,-769.71,4078.48,-659.21
trunk-left-leaf--01,Arc,-837.97,38.02,4142.52,n/a,n/a,n/a,-1272.4,-73.36,4215,454,1260.02,-994.24,3263.93,-851.53
trunk-left-leaf--02,Arc,-1272.4,-73.36,4215,n/a,n/a,n/a,-1944.13,-318.11,4037.44,737,1390.3,-1342.66,2829.33,16.03
trunk-right---01,Line,1029.41,37.39,373.89,n/a,n/a,n/a,990.6,76.2,762,392,n/a,n/a,n/a,n/a
trunk-right---02,Arc,990.6,76.2,762,n/a,n/a,n/a,533.4,-222.67,2540,1860,3132.73,-605.53,871.73,-2617.19
trunk-right---03,Arc,533.4,-222.67,2540,n/a,n/a,n/a,345.81,-360.84,2804.94,353,969.85,-359.52,2163.55,-182.64
trunk-right---04,Arc,345.81,-360.84,2804.94,n/a,n/a,n/a,-167.52,-414.61,3212.52,658,1100.55,-155.6,2833.24,618.45
trunk-right---05,Arc,-167.52,-414.61,3212.52,n/a,n/a,n/a,-462.07,-23.29,3428.48,535,466.3,-72.7,3180.04,40.79
trunk-right---06,Arc,-462.07,-23.29,3428.48,n/a,n/a,n/a,219.73,245.9,3931.58,889,466.07,-74.61,3687.49,-20.56
trunk-right---07,Arc,219.73,245.9,3931.58,n/a,n/a,n/a,837.97,-38.02,4142.52,712,703.48,769.71,4078.48,659.21
trunk-right-leaf--01,Arc,837.97,-38.02,4142.52,n/a,n/a,n/a,1272.4,73.36,4215,454,1260.02,994.24,3263.93,851.53
trunk-right-leaf--02,Arc,1272.4,73.36,4215,n/a,n/a,n/a,1944.13,318.11,4037.44,737,1390.3,1342.66,2829.33,-16.03
