x,y,z
-8.670000, -473.990000, 5439.850000
-11.256791, -456.486844, 5468.099941
-13.843583, -438.983688, 5496.349881
-16.430374, -421.480531, 5524.599822
-19.017165, -403.977375, 5552.849762
-21.603956, -386.474219, 5581.099703
-24.190748, -368.971063, 5609.349644
-26.777539, -351.467906, 5637.599584
-29.364330, -333.964750, 5665.849525
-31.951122, -316.461594, 5694.099465
-34.537913, -298.958438, 5722.349406
-37.124704, -281.455281, 5750.599347
-39.711495, -263.952125, 5778.849287
-40.000000, -262.000000, 5782.000000
-40.967728, -230.306897, 5792.282113
-41.935457, -198.613795, 5802.564227
-42.903185, -166.920692, 5812.846340
-43.870913, -135.227589, 5823.128454
-44.838642, -103.534487, 5833.410567
-45.806370, -71.841384, 5843.692681
-46.774098, -40.148281, 5853.974794
-47.741827, -8.455179, 5864.256908
-23.000000, -472.000000, 5448.000000
-26.820706, -455.335217, 5476.614652
-30.641413, -438.670434, 5505.229304
-34.462119, -422.005650, 5533.843956
-38.282826, -405.340867, 5562.458608
-42.103532, -388.676084, 5591.073261
-45.924238, -372.011301, 5619.687913
-49.744945, -355.346518, 5648.302565
-53.565651, -338.681735, 5676.917217
-57.386358, -322.016951, 5705.531869
-61.207064, -305.352168, 5734.146521
-65.027770, -288.687385, 5762.761173
-68.848477, -272.022602, 5791.375825
-70.000000, -267.000000, 5800.000000
-71.408512, -235.660612, 5811.268095
-72.817024, -204.321224, 5822.536189
-74.225535, -172.981836, 5833.804284
-75.634047, -141.642447, 5845.072378
-77.042559, -110.303059, 5856.340473
-78.451071, -78.963671, 5867.608568
-79.859583, -47.624283, 5878.876662
-81.268095, -16.284895, 5890.144757
-41.000000, -470.000000, 5454.000000
-47.540045, -455.018734, 5483.049967
-54.080090, -440.037468, 5512.099934
-60.620135, -425.056203, 5541.149902
-67.160180, -410.074937, 5570.199869
-73.700225, -395.093671, 5599.249836
-80.240270, -380.112405, 5628.299803
-86.780315, -365.131139, 5657.349771
-93.320360, -350.149873, 5686.399738
-99.860405, -335.168608, 5715.449705
-106.400450, -320.187342, 5744.499672
-112.940495, -305.206076, 5773.549640
-119.480540, -290.224810, 5802.599607
-126.020585, -275.243544, 5831.649574
-127.000000, -273.000000, 5836.000000
-129.925708, -242.280064, 5848.603051
-132.851416, -211.560128, 5861.206101
-135.777125, -180.840192, 5873.809152
-138.702833, -150.120257, 5886.412202
-141.628541, -119.400321, 5899.015253
-144.554249, -88.680385, 5911.618304
-147.479957, -57.960449, 5924.221354
-150.405665, -27.240513, 5936.824405
-56.000000, -470.000000, 5455.000000
-64.341297, -456.169132, 5484.158892
-72.682593, -442.338264, 5513.317784
-81.023890, -428.507396, 5542.476675
-89.365187, -414.676528, 5571.635567
-97.706483, -400.845660, 5600.794459
-106.047780, -387.014792, 5629.953351
-114.389077, -373.183924, 5659.112243
-122.730373, -359.353056, 5688.271134
-131.071670, -345.522188, 5717.430026
-139.412967, -331.691320, 5746.588918
-147.754263, -317.860452, 5775.747810
-156.095560, -304.029584, 5804.906702
-164.436857, -290.198716, 5834.065593
-172.778153, -276.367848, 5863.224485
-173.000000, -276.000000, 5864.000000
-176.751690, -245.545105, 5877.020571
-180.503380, -215.090209, 5890.041142
-184.255070, -184.635314, 5903.061714
-188.006760, -154.180418, 5916.082285
-191.758450, -123.725523, 5929.102856
-195.510140, -93.270627, 5942.123427
-199.261830, -62.815732, 5955.143999
-203.013520, -32.360836, 5968.164570
-206.765210, -1.905941, 5981.185141
-82.000000, -470.000000, 5451.000000
-92.302203, -457.458188, 5480.114922
-102.604406, -444.916375, 5509.229843
-112.906609, -432.374563, 5538.344765
-123.208812, -419.832750, 5567.459687
-133.511015, -407.290938, 5596.574608
-143.813218, -394.749125, 5625.689530
-154.115421, -382.207313, 5654.804452
-164.417624, -369.665501, 5683.919373
-174.719828, -357.123688, 5713.034295
-185.022031, -344.581876, 5742.149217
-195.324234, -332.040063, 5771.264139
-205.626437, -319.498251, 5800.379060
-215.928640, -306.956439, 5829.493982
-226.230843, -294.414626, 5858.608904
-236.533046, -281.872814, 5887.723825
-243.000000, -274.000000, 5906.000000
-247.441189, -243.577857, 5918.879447
-251.882378, -213.155714, 5931.758895
-256.323566, -182.733571, 5944.638342
-260.764755, -152.311428, 5957.517790
-265.205944, -121.889285, 5970.397237
-269.647133, -91.467142, 5983.276685
-274.088321, -61.044999, 5996.156132
-278.529510, -30.622856, 6009.035579
-282.970699, -0.200713, 6021.915027
-177.000000, -419.000000, 5673.000000
-188.469540, -403.359719, 5700.109821
-199.939079, -387.719438, 5727.219641
-211.408619, -372.079156, 5754.329462
-222.878158, -356.438875, 5781.439283
-234.347698, -340.798594, 5808.549104
-245.817237, -325.158313, 5835.658924
-257.286777, -309.518032, 5862.768745
-268.756316, -293.877751, 5889.878566
-280.225856, -278.237469, 5916.988386
-287.000000, -269.000000, 5933.000000
-292.321600, -238.542334, 5945.454808
-297.643199, -208.084667, 5957.909616
-302.964799, -177.627001, 5970.364424
-308.286399, -147.169334, 5982.819231
-313.607999, -116.711668, 5995.274039
-318.929598, -86.254001, 6007.728847
-324.251198, -55.796335, 6020.183655
-329.572798, -25.338668, 6032.638463
-98.000000, -471.000000, 5443.000000
-111.165698, -459.237204, 5471.273877
-124.331397, -447.474408, 5499.547754
-137.497095, -435.711612, 5527.821631
-150.662794, -423.948815, 5556.095508
-163.828492, -412.186019, 5584.369385
-176.994191, -400.423223, 5612.643262
-190.159889, -388.660427, 5640.917139
-203.325588, -376.897631, 5669.191016
-216.491286, -365.134835, 5697.464893
-229.656985, -353.372038, 5725.738770
-242.822683, -341.609242, 5754.012647
-255.988382, -329.846446, 5782.286524
-269.154080, -318.083650, 5810.560401
-282.319778, -306.320854, 5838.834278
-295.485477, -294.558058, 5867.108155
-308.651175, -282.795261, 5895.382032
-321.816874, -271.032465, 5923.655909
-334.982572, -259.269669, 5951.929786
-342.000000, -253.000000, 5967.000000
-347.264096, -222.027525, 5978.140297
-352.528193, -191.055051, 5989.280594
-357.792289, -160.082576, 6000.420891
-363.056386, -129.110102, 6011.561189
-368.320482, -98.137627, 6022.701486
-373.584579, -67.165153, 6033.841783
-378.848675, -36.192678, 6044.982080
-384.112772, -5.220204, 6056.122377
-226.000000, -430.000000, 5648.000000
-241.010040, -416.006265, 5674.267569
-256.020079, -402.012530, 5700.535139
-271.030119, -388.018795, 5726.802708
-286.040159, -374.025060, 5753.070278
-301.050198, -360.031325, 5779.337847
-316.060238, -346.037591, 5805.605417
-331.070278, -332.043856, 5831.872986
-346.080317, -318.050121, 5858.140555
-361.090357, -304.056386, 5884.408125
-376.100397, -290.062651, 5910.675694
-391.110436, -276.068916, 5936.943264
-406.120476, -262.075181, 5963.210833
-418.000000, -251.000000, 5984.000000
-424.165655, -220.048414, 5994.728239
-430.331309, -189.096827, 6005.456478
-436.496964, -158.145241, 6016.184717
-442.662619, -127.193654, 6026.912956
-448.828273, -96.242068, 6037.641196
-454.993928, -65.290482, 6048.369435
-461.159583, -34.338895, 6059.097674
-467.325237, -3.387309, 6069.825913
-112.000000, -473.000000, 5432.000000
-129.592980, -462.806853, 5458.413972
-147.185959, -452.613706, 5484.827945
-164.778939, -442.420559, 5511.241917
-182.371919, -432.227412, 5537.655889
-199.964898, -422.034265, 5564.069861
-217.557878, -411.841118, 5590.483834
-235.150858, -401.647971, 5616.897806
-252.743837, -391.454824, 5643.311778
-270.336817, -381.261677, 5669.725750
-287.929797, -371.068530, 5696.139723
-305.522776, -360.875383, 5722.553695
-323.115756, -350.682236, 5748.967667
-340.708736, -340.489089, 5775.381640
-358.301716, -330.295942, 5801.795612
-375.894695, -320.102795, 5828.209584
-393.487675, -309.909648, 5854.623556
-411.080655, -299.716501, 5881.037529
-428.673634, -289.523354, 5907.451501
-446.266614, -279.330207, 5933.865473
-463.859594, -269.137060, 5960.279446
-471.000000, -265.000000, 5971.000000
-478.481992, -234.496493, 5982.165435
-485.963985, -203.992985, 5993.330870
-493.445977, -173.489478, 6004.496304
-500.927970, -142.985970, 6015.661739
-508.409962, -112.482463, 6026.827174
-515.891954, -81.978955, 6037.992609
-523.373947, -51.475448, 6049.158044
-530.855939, -20.971940, 6060.323478
-269.000000, -435.000000, 5629.000000
-287.819389, -422.428946, 5653.472644
-306.638778, -409.857892, 5677.945288
-325.458167, -397.286837, 5702.417932
-344.277556, -384.715783, 5726.890576
-363.096945, -372.144729, 5751.363220
-381.916333, -359.573675, 5775.835864
-400.735722, -347.002620, 5800.308508
-419.555111, -334.431566, 5824.781153
-438.374500, -321.860512, 5849.253797
-457.193889, -309.289458, 5873.726441
-476.013278, -296.718403, 5898.199085
-494.832667, -284.147349, 5922.671729
-513.652056, -271.576295, 5947.144373
-522.000000, -266.000000, 5958.000000
-530.525673, -235.762280, 5969.140212
-539.051346, -205.524561, 5980.280425
-547.577018, -175.286841, 5991.420637
-556.102691, -145.049122, 6002.560850
-564.628364, -114.811402, 6013.701062
-573.154037, -84.573683, 6024.841275
-581.679710, -54.335963, 6035.981487
-590.205382, -24.098244, 6047.121700
-123.000000, -474.000000, 5421.000000
-143.470131, -464.181747, 5445.406695
-163.940262, -454.363494, 5469.813390
-184.410393, -444.545241, 5494.220084
-204.880525, -434.726988, 5518.626779
-225.350656, -424.908735, 5543.033474
-245.820787, -415.090482, 5567.440169
-266.290918, -405.272229, 5591.846864
-286.761049, -395.453976, 5616.253559
-307.231180, -385.635724, 5640.660253
-327.701311, -375.817471, 5665.066948
-348.171442, -365.999218, 5689.473643
-368.641574, -356.180965, 5713.880338
-389.111705, -346.362712, 5738.287033
-409.581836, -336.544459, 5762.693727
-430.051967, -326.726206, 5787.100422
-450.522098, -316.907953, 5811.507117
-470.992229, -307.089700, 5835.913812
-491.462360, -297.271447, 5860.320507
-511.932492, -287.453194, 5884.727201
-532.402623, -277.634941, 5909.133896
-552.872754, -267.816688, 5933.540591
-565.000000, -262.000000, 5948.000000
-574.334294, -231.807592, 5958.601914
-583.668588, -201.615185, 5969.203828
-593.002882, -171.422777, 5979.805742
-602.337176, -141.230369, 5990.407657
-611.671470, -111.037961, 6001.009571
-621.005764, -80.845554, 6011.611485
-630.340058, -50.653146, 6022.213399
-639.674352, -20.460738, 6032.815313
-143.000000, -470.000000, 5437.000000
-165.490128, -459.822649, 5459.399259
-187.980256, -449.645298, 5481.798517
-210.470384, -439.467948, 5504.197776
-232.960512, -429.290597, 5526.597035
-255.450639, -419.113246, 5548.996293
-277.940767, -408.935895, 5571.395552
-300.430895, -398.758544, 5593.794811
-322.921023, -388.581194, 5616.194069
-345.411151, -378.403843, 5638.593328
